hdr;country;code;agr;ind;srv;ffl;gii;fps
1;Norway;NOR;1.6;8.1;90.3;60.3;0.090;37.9
2;Switzerland;CHE;2.8;10.9;85.8;59.5;0.070;24.8
3;Australia;AUS;2.5;9.3;88.0;57.0;0.140;28.3
4;Germany;DEU;1.7;16.1;82.2;50.6;0.120;30.5
5;Denmark;DNK;1.6;12.4;85.9;60.5;0.000;36.9
6;Singapore;SGP;0.0;0.0;0.0;53.5;0.170;16.0
7;Netherlands;NLD;2.1;8.1;84.9;56.7;0.080;34.2
8;Ireland;IRL;1.3;11.9;86.8;52.4;0.190;14.2
9;Iceland;ISL;3.1;10.6;86.1;70.8;0.130;33.3
10;Canada;CAN;1.4;10.8;87.8;60.9;0.130;24.7
11;United States;USA;0.8;9.6;89.6;58.3;0.260;15.0
12;New Zealand;NZL;4.9;10.5;84.2;60.3;0.190;32.2
13;Sweden;SWE;1.0;9.3;89.4;59.3;0.050;45.3
14;United Kingdom;GBR;0.7;9.4;89.7;54.9;0.210;18.5
15;Japan;JPN;4.5;17.2;77.1;48.4;0.150;10.7
16;Korea, Rep.;KOR;8.9;16.6;74.4;49.5;0.110;13.4
17;Israel;ISR;0.8;10.5;88.0;55.4;0.170;15.0
18;Luxembourg;LUX;1.1;5.8;93.0;45.4;0.160;23.3
19;France;FRA;2.3;12.1;85.3;50.1;0.160;13.9
20;Belgium;BEL;1.5;11.4;87.2;45.8;0.100;35.7
21;Finland;FIN;2.9;12.3;84.5;56.8;0.090;37.5
22;Austria;AUT;5.3;12.9;81.8;51.2;0.120;32.2
23;Slovenia;SVN;9.1;25.3;65.3;52.8;0.140;10.8
24;Italy;ITA;3.3;17.4;79.3;37.8;0.180;10.4
25;Spain;ESP;3.5;12.4;84.0;45.9;0.120;30.5
26;Czech Republic;CZE;2.8;26.5;70.7;50.8;0.150;15.7
27;Greece;GRC;13.5;9.9;76.5;42.1;0.180;13.0
28;Estonia;EST;3.2;24.2;72.5;53.4;0.210;18.8
29;Cyprus;CYP;3.5;10.6;85.9;53.6;0.140;16.1
30;Malta;MLT;0.6;16.9;82.5;29.1;0.310;9.2
31;Qatar;QAT;0.0;0.0;0.0;43.5;0.000;0.0
32;Poland;POL;16.6;17.1;66.2;47.5;0.160;19.1
33;Lithuania;LTU;11.5;20.8;67.7;50.5;0.190;22.0
34;Chile;CHL;5.8;11.5;82.7;38.2;0.390;11.9
35;Saudi Arabia;SAU;0.0;0.0;0.0;17.5;0.670;0.1
36;Slovak Republic;SVK;2.6;25.2;72.0;51.2;0.190;16.7
37;Portugal;PRT;13.1;18.5;68.4;55.4;0.180;21.3
38;United Arab Emirates;ARE;0.1;6.2;92.4;37.1;0.590;0.1
39;Hungary;HUN;2.7;21.2;76.1;42.9;0.260;9.1
40;Latvia;LVA;8.0;17.3;74.7;50.9;0.220;21.0
41;Argentina;ARG;0.6;10.9;88.1;48.8;0.370;37.4
42;Croatia;HRV;18.9;18.1;63.0;46.2;0.160;21.7
43;Bahrain;BHR;0.0;0.0;0.0;36.2;0.330;7.5
44;Montenegro;MNE;8.8;9.2;82.0;42.6;0.000;0.0
45;Russian Federation;RUS;8.0;21.2;70.8;56.2;0.360;8.0
46;Romania;ROU;33.1;24.8;42.2;47.4;0.360;10.7
47;Kuwait;KWT;0.1;2.3;97.0;45.0;0.370;1.5
48;Belarus;BLR;0.0;0.0;0.0;53.8;0.000;29.8
49;Oman;OMN;0.0;0.0;0.0;25.4;0.390;7.8
50;Barbados;BRB;0.3;0.0;0.0;64.2;0.350;17.6
51;Uruguay;URY;1.5;12.8;85.7;52.7;0.370;10.8
52;Bulgaria;BGR;6.8;28.9;64.3;44.6;0.250;22.1
53;Kazakhstan;KAZ;31.3;10.9;57.8;64.4;0.360;8.6
54;Bahamas, The;BHS;0.3;5.1;94.3;67.7;0.360;26.8
55;Panama;PAN;4.3;9.1;86.6;47.9;0.470;16.7
56;Mauritius;MUS;8.9;28.8;62.3;41.1;0.370;17.1
57;Trinidad and Tobago;TTO;1.7;15.8;82.0;53.5;0.350;25.4
58;Costa Rica;CRI;4.8;12.6;82.5;43.6;0.350;35.1
59;Serbia;SRB;23.3;17.5;59.2;44.9;0.000;0.0
60;Cuba;CUB;9.4;13.2;77.4;38.2;0.340;36.0
61;Iran, Islamic Rep.;IRN;33.6;28.3;38.0;19.4;0.510;4.1
62;Georgia;GEO;57.2;4.4;38.4;55.4;0.390;9.4
63;Turkey;TUR;51.6;15.1;33.3;23.4;0.560;4.4
64;Venezuela, RB;VEN;2.0;11.2;86.0;51.7;0.470;17.4
65;Sri Lanka;LKA;34.5;27.6;25.8;34.4;0.450;4.9
66;Albania;ALB;0.0;0.0;0.0;47.6;0.330;7.1
67;Lebanon;LBN;0.0;0.0;0.0;20.3;0.000;4.7
68;Mexico;MEX;4.9;18.9;75.7;41.0;0.430;23.7
69;Azerbaijan;AZE;37.4;8.7;54.0;60.5;0.320;13.0
70;Brazil;BRA;16.0;13.3;70.6;59.1;0.470;9.1
71;Bosnia and Herzegovina;BIH;0.0;0.0;0.0;31.8;0.000;12.3
72;Armenia;ARM;46.4;9.8;43.8;48.5;0.410;5.3
73;Ukraine;UKR;0.0;0.0;0.0;52.2;0.370;5.3
74;Jordan;JOR;0.0;0.0;0.0;12.3;0.560;7.3
75;Peru;PER;0.3;13.4;86.3;57.5;0.460;18.3
76;Thailand;THA;40.7;18.7;40.5;66.0;0.350;10.6
77;Ecuador;ECU;4.3;12.1;83.6;55.3;0.450;16.0
78;China;CHN;0.0;0.0;0.0;66.9;0.230;20.3
79;Fiji;FJI;0.0;0.0;0.0;38.1;0.410;9.7
80;Mongolia;MNG;36.8;14.8;48.4;55.4;0.410;6.7
81;Jamaica;JAM;8.5;5.3;86.0;57.3;0.470;13.6
82;Colombia;COL;8.1;16.3;75.6;53.0;0.480;10.9
83;Suriname;SUR;0.0;0.0;0.0;37.6;0.490;25.5
84;Tunisia;TUN;0.0;0.0;0.0;24.0;0.340;19.3
85;Dominican Republic;DOM;2.8;15.1;78.1;48.8;0.470;15.4
86;Tonga;TON;0.0;0.0;0.0;53.1;0.480;3.4
87;Libya;LBY;0.0;0.0;0.0;28.6;0.270;4.7
88;Belize;BLZ;3.3;10.3;86.2;45.7;0.460;11.9
89;Samoa;WSM;0.0;0.0;0.0;28.3;0.490;6.1
90;Maldives;MDV;0.0;0.0;0.0;50.4;0.420;12.0
91;Uzbekistan;UZB;0.0;0.0;0.0;47.1;0.000;16.4
92;Moldova;MDA;40.3;11.5;48.2;47.9;0.290;21.8
93;Botswana;BWA;0.0;0.0;0.0;71.4;0.520;11.1
94;Gabon;GAB;0.0;0.0;0.0;54.1;0.570;11.9
95;Paraguay;PRY;0.0;0.0;0.0;54.3;0.540;9.6
96;Egypt, Arab Rep.;EGY;46.5;5.0;48.4;20.5;0.580;3.8
97;Turkmenistan;TKM;0.0;0.0;0.0;47.0;0.000;16.0
98;Indonesia;IDN;0.0;0.0;0.0;50.0;0.530;11.3
99;Vietnam;VNM;0.0;0.0;0.0;72.5;0.320;27.3
100;Philippines;PHL;23.7;12.0;64.3;49.8;0.470;15.4
101;El Salvador;SLV;4.8;20.1;75.1;45.2;0.490;10.7
102;Bolivia;BOL;39.1;10.8;50.0;60.7;0.560;14.7
103;South Africa;ZAF;6.1;13.7;80.2;46.7;0.430;32.8
104;Kyrgyz Republic;KGZ;37.4;10.3;52.3;54.1;0.680;0.1
105;Iraq;IRQ;0.0;0.0;0.0;13.7;0.000;0.0
106;Morocco;MAR;61.4;15.9;22.6;27.6;0.580;6.4
107;Nicaragua;NIC;8.3;19.1;72.6;43.7;0.540;20.7
108;Guatemala;GTM;0.0;0.0;0.0;45.1;0.570;8.2
109;Namibia;NAM;0.0;0.0;0.0;55.5;0.530;26.9
110;Tajikistan;TJK;0.0;0.0;0.0;57.7;0.350;19.6
111;Honduras;HND;13.1;23.3;63.4;36.3;0.520;23.4
112;India;IND;70.9;14.4;14.7;36.8;0.620;9.3
113;Bhutan;BTN;63.0;5.8;31.6;65.2;0.000;9.3
114;Congo, Dem. Rep.;COD;0.0;0.0;0.0;67.4;0.630;10.1
115;Lao PDR;LAO;0.0;0.0;0.0;78.9;0.540;22.9
116;Bangladesh;BGD;68.1;12.5;19.4;48.1;0.590;14.8
117;Ghana;GHA;0.0;0.0;0.0;67.6;0.570;10.9
118;Zambia;ZMB;0.0;0.0;0.0;73.5;0.590;12.7
119;Cambodia;KHM;0.0;0.0;0.0;75.9;0.560;10.9
120;Nepal;NPL;0.0;0.0;0.0;80.4;0.650;6.4
121;Myanmar;MMR;0.0;0.0;0.0;75.4;0.000;0.0
122;Kenya;KEN;0.0;0.0;0.0;59.9;0.650;7.1
123;Pakistan;PAK;67.3;15.0;17.6;19.3;0.600;20.6
124;Syrian Arab Republic;SYR;0.0;0.0;0.0;16.3;0.540;12.0
125;Tanzania;TZA;0.0;0.0;0.0;88.7;0.590;30.4
126;Nigeria;NGA;0.0;0.0;0.0;47.6;0.730;5.8
127;Cameroon;CMR;0.0;0.0;0.0;67.1;0.660;8.9
128;Papua New Guinea;PNG;0.0;0.0;0.0;71.3;0.680;0.9
129;Zimbabwe;ZWE;0.0;0.0;0.0;82.5;0.590;20.8
130;Mauritania;MRT;0.0;0.0;0.0;27.8;0.000;0.0
131;Rwanda;RWA;0.0;0.0;0.0;85.6;0.480;45.3
132;Lesotho;LSO;0.0;0.0;0.0;61.8;0.590;17.0
133;Senegal;SEN;0.0;0.0;0.0;35.6;0.630;19.2
134;Haiti;HTI;0.0;0.0;0.0;58.4;0.580;9.1
135;Uganda;UGA;0.0;0.0;0.0;77.0;0.590;23.9
136;Sudan;SDN;0.0;0.0;0.0;24.5;0.670;13.6
137;Togo;TGO;0.0;0.0;0.0;79.8;0.630;7.4
138;Benin;BEN;0.0;0.0;0.0;67.4;0.660;7.2
139;Yemen, Rep.;YEM;0.0;0.0;0.0;23.6;0.790;0.7
140;Afghanistan;AFG;0.0;0.0;0.0;16.4;0.740;25.9
141;Malawi;MWI;0.0;0.0;0.0;78.7;0.660;13.6
142;Cote d'Ivoire;CIV;0.0;0.0;0.0;50.5;0.690;8.5
143;Gambia, The;GMB;0.0;0.0;0.0;71.7;0.650;13.2
144;Ethiopia;ETH;75.5;8.4;16.1;78.4;0.610;21.0
145;Mali;MLI;0.0;0.0;0.0;38.3;0.720;10.2
146;Congo, Rep.;COG;0.0;0.0;0.0;70.9;0.670;10.2
147;Liberia;LBR;0.0;0.0;0.0;58.5;0.680;13.8
148;Sierra Leone;SLE;0.0;0.0;0.0;65.1;0.670;14.5
149;Mozambique;MOZ;0.0;0.0;0.0;87.0;0.640;34.8
150;Burundi;BDI;0.0;0.0;0.0;84.0;0.530;31.7
151;Burkina Faso;BFA;0.0;0.0;0.0;76.5;0.640;11.7
152;Chad;TCD;0.0;0.0;0.0;64.2;0.000;6.5
153;Central African Republic;CAF;0.0;0.0;0.0;69.9;0.680;10.5
